threshold,precision,recall,f1,f2,predicted_positive_rate
0.0031816028027654504,0.5308641975308642,1.0,0.693548387096321,0.84980237154123,1.0
0.0034630448245300412,0.5341614906832298,1.0,0.6963562753031899,0.85148514851458,0.9938271604938271
0.0034878745321753556,0.5375,1.0,0.6991869918694639,0.8531746031743324,0.9876543209876543
0.0036344955404578453,0.5408805031446541,1.0,0.702040816326075,0.8548707753476422,0.9814814814814815
0.003677324851621125,0.5443037974683544,1.0,0.7049180327864287,0.8565737051790133,0.9753086419753086
0.003881264890596732,0.5477707006369427,1.0,0.707818930040695,0.8582834331334636,0.9691358024691358
0.004818849478828235,0.5512820512820513,1.0,0.7107438016524343,0.8599999999997316,0.9629629629629629
0.00529734431677415,0.5548387096774193,1.0,0.7136929460576322,0.8617234468935199,0.9567901234567902
0.00556841578349779,0.5584415584415584,1.0,0.7166666666662067,0.8634538152607771,0.9506172839506173
0.005840022985224614,0.5620915032679739,1.0,0.7196652719660664,0.8651911468810213,0.9444444444444444
0.007272409236841939,0.5695364238410596,1.0,0.7257383966240102,0.8686868686866036,0.9320987654320988
0.007338053470732575,0.5733333333333334,1.0,0.7288135593215707,0.8704453441292903,0.9259259259259259
0.007490687611650102,0.5771812080536913,1.0,0.7319148936165573,0.8722109533465923,0.9197530864197531
0.007544013343165944,0.581081081081081,1.0,0.73504273504227,0.8739837398371355,0.9135802469135802
0.007580556856498742,0.5850340136054422,1.0,0.738197424892238,0.8757637474539129,0.9074074074074074
0.007592319443405188,0.589041095890411,1.0,0.741379310344361,0.8775510204079018,0.9012345679012346
0.007610614649268399,0.593103448275862,1.0,0.7445887445882772,0.8793456032717228,0.8950617283950617
0.0076868006918389565,0.5972222222222222,1.0,0.7478260869560535,0.8811475409833466,0.8888888888888888
0.007910270321263426,0.6013986013986014,1.0,0.7510917030562995,0.8829568788498433,0.8827160493827161
0.008009220553048212,0.6056338028169014,1.0,0.7543859649118108,0.8847736625511818,0.8765432098765432
0.008047310903678363,0.6099290780141844,1.0,0.7577092511008509,0.8865979381440722,0.8703703703703703
0.008064924429776852,0.6142857142857143,1.0,0.7610619469021834,0.8884297520658587,0.8641975308641975
0.008065599007224773,0.6187050359712231,1.0,0.7644444444439721,0.8902691511384602,0.8580246913580247
0.008646220019579513,0.6231884057971014,1.0,0.7678571428566697,0.8921161825723587,0.8518518518518519
0.009008237503998371,0.6277372262773723,1.0,0.7713004484300194,0.8939708939706393,0.845679012345679
0.00928865383134091,0.6323529411764706,1.0,0.7747747747743001,0.8958333333330795,0.8395061728395061
0.009452554159655025,0.6370370370370371,1.0,0.77828054298595,0.8977035490602897,0.8333333333333334
0.009697494831544522,0.6417910447761194,1.0,0.7818181818177056,0.8995815899579067,0.8271604938271605
0.009865657471000424,0.6466165413533834,1.0,0.7853881278534043,0.9014675052408387,0.8209876543209876
0.01039409407067655,0.6515151515151515,1.0,0.7889908256875956,0.9033613445375646,0.8148148148148148
0.010482907417507273,0.6564885496183206,1.0,0.7926267281101205,0.9052631578944872,0.808641975308642
0.010652066271599928,0.6615384615384615,1.0,0.796296296295817,0.9071729957803418,0.8024691358024691
0.010817598412195492,0.6666666666666666,1.0,0.79999999999952,0.909090909090661,0.7962962962962963
0.01133253321731416,0.671875,1.0,0.8037383177565286,0.9110169491522953,0.7901234567901234
0.012423215457702029,0.6771653543307087,1.0,0.8075117370887204,0.9129511677279917,0.7839506172839507
0.012938634769675375,0.6825396825396826,1.0,0.8113207547164989,0.9148936170210313,0.7777777777777778
0.016497475739855272,0.688,1.0,0.8151658767767682,0.9168443496799261,0.7716049382716049
0.026926575193274474,0.6935483870967742,1.0,0.8190476190471354,0.9188034188031753,0.7654320987654321
0.03130530044786359,0.6991869918699187,1.0,0.8229665071765492,0.920770877944083,0.7592592592592593
0.03352713105593392,0.7049180327868853,1.0,0.8269230769225918,0.9227467811156382,0.7530864197530864
0.033631083511603495,0.7107438016528925,1.0,0.8309178743956496,0.9247311827954582,0.7469135802469136
0.044111695458643484,0.7166666666666667,1.0,0.8349514563101932,0.9267241379307948,0.7407407407407407
0.04504242263822235,0.7226890756302521,1.0,0.8390243902434152,0.9287257019436058,0.7345679012345679
0.04592227174868916,0.7288135593220338,1.0,0.8431372549014731,0.9307359307356929,0.7283950617283951
0.04872732463415777,0.7350427350427351,1.0,0.8472906403936004,0.9327548806939064,0.7222222222222222
0.05257280699273306,0.7413793103448276,1.0,0.8514851485143625,0.9347826086954164,0.7160493827160493
0.05437602270075898,0.7478260869565218,1.0,0.8557213930343361,0.9368191721130551,0.7098765432098766
0.05524843991068501,0.7543859649122807,1.0,0.8599999999995097,0.938864628820727,0.7037037037037037
0.05754553746208782,0.7610619469026548,1.0,0.8643216080397101,0.9409190371988921,0.6975308641975309
0.0766774937533613,0.7678571428571429,1.0,0.8686868686863773,0.9429824561401193,0.691358024691358
0.07967486837029912,0.7747747747747747,1.0,0.8730964467000155,0.9450549450547144,0.6851851851851852
0.08081431765628148,0.7818181818181819,1.0,0.8775510204076707,0.9471365638764225,0.6790123456790124
0.08226198842057593,0.7889908256880734,1.0,0.882051282050789,0.9492273730682041,0.6728395061728395
0.087196710096949,0.7962962962962963,1.0,0.8865979381438363,0.9513274336280912,0.6666666666666666
0.09790002580007957,0.8037383177570093,1.0,0.8911917098440655,0.9534368070951176,0.6604938271604939
0.09795453555148806,0.8113207547169812,1.0,0.8958333333328388,0.9555555555553303,0.654320987654321
0.11535363609146944,0.819047619047619,1.0,0.900523560208929,0.9576837416478828,0.6481481481481481
0.12812438997152986,0.8269230769230769,1.0,0.9052631578942413,0.9598214285712057,0.6419753086419753
0.12849841374775206,0.8349514563106796,1.0,0.910052910052414,0.9619686800892637,0.6358024691358025
0.152839006208164,0.8431372549019608,1.0,0.9148936170207801,0.964125560537896,0.6296296296296297
0.15784176837154473,0.8514851485148515,1.0,0.9197860962561877,0.9662921348312415,0.6234567901234568
0.16190687779923435,0.86,1.0,0.9247311827952017,0.9684684684682504,0.6172839506172839
0.16246035779832224,0.8686868686868687,1.0,0.9297297297292322,0.9706546275392864,0.6111111111111112
0.16391898995804585,0.8775510204081632,1.0,0.9347826086951543,0.972850678732816,0.6049382716049383
0.1660550112404531,0.8865979381443299,1.0,0.9398907103820154,0.9750566893421893,0.5987654320987654
0.17448945568082674,0.8958333333333334,1.0,0.9450549450544465,0.977272727272514,0.5925925925925926
0.19703696808667218,0.9052631578947369,1.0,0.9502762430934238,0.9794988610476238,0.5864197530864198
0.20003070382539376,0.9148936170212766,1.0,0.9555555555550566,0.981735159817141,0.5802469135802469
0.24002835671917577,0.9139784946236559,0.9883720930232558,0.9497206703905621,0.9725400457663809,0.5740740740740741
0.2455003202060583,0.9239130434782609,0.9883720930232558,0.9550561797747814,0.9747706422016267,0.5679012345679012
0.2531941007519445,0.9340659340659341,0.9883720930232558,0.9604519774006303,0.9770114942526669,0.5617283950617284
0.2643499506915769,0.9444444444444444,0.9883720930232558,0.9659090909085911,0.9792626728108544,0.5555555555555556
0.26572324403818315,0.9550561797752809,0.9883720930232558,0.9714285714280716,0.9815242494224287,0.5493827160493827
0.2868403941120485,0.9659090909090909,0.9883720930232558,0.9770114942523737,0.9837962962960934,0.5432098765432098
0.29580748039666854,0.9770114942528736,0.9883720930232558,0.9826589595370722,0.9860788863107034,0.5370370370370371
0.312470840610089,0.9883720930232558,0.9883720930232558,0.9883720930227557,0.9883720930230557,0.5308641975308642
0.5542929854907557,0.9882352941176471,0.9767441860465116,0.9824561403503772,0.9790209790207804,0.5246913580246914
0.5552543839062027,0.9880952380952381,0.9651162790697675,0.9764705882347943,0.9696261682241019,0.5185185185185185
0.5881276069449128,0.9879518072289156,0.9534883720930233,0.970414201182932,0.9601873536297809,0.5123456790123457
0.5980055449169841,0.9878048780487805,0.9418604651162791,0.9642857142852146,0.9507042253519185,0.5061728395061729
0.6255488263000722,0.9876543209876543,0.9302325581395349,0.9580838323348297,0.9411764705880423,0.5
0.6725368044340088,0.9875,0.9186046511627907,0.9518072289151632,0.9316037735847142,0.49382716049382713
0.6915142778529711,0.9873417721518988,0.9069767441860465,0.9454545454540463,0.921985815602647,0.4876543209876543
0.6962672385910618,0.9871794871794872,0.8953488372093024,0.9390243902434037,0.9123222748813283,0.48148148148148145
0.7015371512583839,0.987012987012987,0.8837209302325582,0.9325153374228142,0.9026128266031387,0.47530864197530864
0.7022685089867433,0.9868421052631579,0.872093023255814,0.9259259259254279,0.8928571428569576,0.4691358024691358
0.717858569389936,0.9866666666666667,0.8604651162790697,0.9192546583845954,0.8830548926012483,0.46296296296296297
0.7409035351371045,0.9864864864864865,0.8488372093023255,0.9124999999995027,0.8732057416266119,0.4567901234567901
0.7899806335875849,0.9863013698630136,0.8372093023255814,0.9056603773579938,0.8633093525178053,0.4506172839506173
0.7901902719210924,0.9861111111111112,0.8255813953488372,0.8987341772146937,0.8533653846152057,0.4444444444444444
0.7958602417816952,0.9859154929577465,0.813953488372093,0.8917197452224345,0.8433734939757264,0.4382716049382716
0.8143372835899525,0.9857142857142858,0.8023255813953488,0.8846153846148898,0.8333333333331577,0.43209876543209874
0.8169527007370189,0.9855072463768116,0.7906976744186046,0.8774193548382156,0.8232445520579375,0.42592592592592593
0.8356904586962429,0.9852941176470589,0.7790697674418605,0.8701298701293769,0.8131067961163325,0.41975308641975306
0.8373219890678615,0.9850746268656716,0.7674418604651163,0.8627450980387233,0.8029197080290263,0.41358024691358025
0.8443998487714847,0.9848484848484849,0.7558139534883721,0.8552631578942455,0.7926829268290994,0.4074074074074074
0.8458308349023022,0.9846153846153847,0.7441860465116279,0.8476821192048076,0.7823960880193929,0.4012345679012346
0.8611466837514478,0.984375,0.7325581395348837,0.8399999999995107,0.7720588235292464,0.3950617283950617
0.8658158659282111,0.9841269841269841,0.7209302325581395,0.8322147651001829,0.761670761670598,0.3888888888888889
0.8709889873631793,0.9838709677419355,0.7093023255813954,0.8243243243238375,0.7512315270934343,0.38271604938271603
0.8886051840363219,0.9836065573770492,0.6976744186046512,0.8163265306117592,0.7407407407405807,0.3765432098765432
0.8903465761046992,0.9833333333333333,0.686046511627907,0.8082191780817076,0.7301980198018221,0.37037037037037035
0.891786744405207,0.9830508474576272,0.6744186046511628,0.7999999999995173,0.7196029776673375,0.36419753086419754
0.897755833462764,0.9827586206896551,0.6627906976744186,0.7916666666661855,0.7089552238804426,0.35802469135802467
0.8985682394236262,0.9824561403508771,0.6511627906976745,0.7832167832163037,0.698254364089623,0.35185185185185186
0.8986404610172176,0.9821428571428571,0.6395348837209303,0.7746478873234659,0.6874999999998496,0.345679012345679
0.8986439288555302,0.9818181818181818,0.627906976744186,0.7659574468080348,0.6766917293231598,0.3395061728395062
0.9004599673300461,0.9814814814814815,0.6162790697674418,0.757142857142383,0.6658291457284966,0.3333333333333333
0.9030131590265398,0.9811320754716981,0.6046511627906976,0.7482014388484489,0.6549118387907873,0.3271604938271605
0.9053285126856475,0.9807692307692307,0.5930232558139535,0.7391304347821391,0.6439393939392515,0.32098765432098764
0.9054415685288271,0.9803921568627451,0.5813953488372093,0.7299270072988027,0.6329113924049227,0.3148148148148148
0.907650595062568,0.98,0.5697674418604651,0.7205882352936527,0.6218274111673743,0.30864197530864196
0.9078177283466841,1.0,0.5697674418604651,0.7259259259254635,0.6234096692110596,0.30246913580246915
0.9088072005854171,1.0,0.5581395348837209,0.7164179104473013,0.6122448979590494,0.2962962962962963
0.9102053006013257,1.0,0.5465116279069767,0.706766917292776,0.6010230179026811,0.29012345679012347
0.910731562129796,1.0,0.5348837209302325,0.6969696969692427,0.5897435897434596,0.2839506172839506
0.9143024071587116,1.0,0.5232558139534884,0.6870229007629077,0.5784061696656819,0.2777777777777778
0.9212397647176827,1.0,0.5116279069767442,0.6769230769226291,0.5670103092782248,0.2716049382716049
0.9214193587069552,1.0,0.5,0.6666666666662222,0.5555555555554321,0.2654320987654321
0.9248171804230645,1.0,0.4883720930232558,0.656249999999559,0.5440414507770809,0.25925925925925924
0.9250429968624813,1.0,0.47674418604651164,0.6456692913381454,0.5324675324674136,0.25308641975308643
0.9282531342196827,1.0,0.46511627906976744,0.6349206349202016,0.5208333333332167,0.24691358024691357
0.9299638267724375,1.0,0.45348837209302323,0.6239999999995707,0.50913838120093,0.24074074074074073
0.932708136478941,1.0,0.4418604651162791,0.6129032258060265,0.4973821989527676,0.2345679012345679
0.9340558057791064,1.0,0.43023255813953487,0.601626016259742,0.48556430446183263,0.22839506172839505
0.9355277023395612,1.0,0.4186046511627907,0.5901639344258135,0.4736842105262086,0.2222222222222222
0.937609170443793,1.0,0.4069767441860465,0.5785123966938036,0.4617414248020061,0.21604938271604937
0.9418445598812791,1.0,0.3953488372093023,0.5666666666662605,0.4497354497353474,0.20987654320987653
0.9436795175933972,1.0,0.38372093023255816,0.5546218487390949,0.4376657824932689,0.2037037037037037
0.9456210601240667,1.0,0.37209302325581395,0.5423728813555369,0.4255319148935197,0.19753086419753085
0.9505077835609779,1.0,0.36046511627906974,0.5299145299141403,0.4133333333332385,0.19135802469135801
0.9516708337490474,1.0,0.3488372093023256,0.5172413793099614,0.40106951871648533,0.18518518518518517
0.9518377344896958,1.0,0.3372093023255814,0.5043478260865794,0.38873994638060744,0.17901234567901234
0.9527508636835728,1.0,0.32558139534883723,0.491228070175068,0.37634408602141844,0.1728395061728395
0.9528600936964783,1.0,0.313953488372093,0.4778761061943265,0.36388140161716637,0.16666666666666666
0.9545653549037917,1.0,0.3023255813953488,0.4642857142853577,0.3513513513512697,0.16049382716049382
0.9570979248941065,1.0,0.29069767441860467,0.4504504504501014,0.33875338753379647,0.15432098765432098
0.9570996104445497,1.0,0.27906976744186046,0.43636363636329517,0.326086956521663,0.14814814814814814
0.9583585054206212,1.0,0.26744186046511625,0.42201834862352017,0.31335149863752876,0.1419753086419753
0.9595276105533589,1.0,0.2558139534883721,0.407407407407083,0.30054644808736103,0.13580246913580246
0.9632140990946669,1.0,0.2441860465116279,0.39252336448566577,0.28767123287664453,0.12962962962962962
0.9634637924826333,1.0,0.23255813953488372,0.37735849056573156,0.2747252747252098,0.12345679012345678
0.9645352411878663,1.0,0.22093023255813954,0.36190476190446547,0.2617079889806542,0.11728395061728394
0.9653496309531572,1.0,0.20930232558139536,0.34615384615355993,0.24861878453032768,0.1111111111111111
0.9707190324958365,1.0,0.19767441860465115,0.33009708737836513,0.23545706371185524,0.10493827160493827
0.9722644502658716,1.0,0.18604651162790697,0.3137254901958139,0.2222222222221691,0.09876543209876543
0.9736603740895271,1.0,0.1744186046511628,0.29702970297004405,0.20891364902501958,0.09259259259259259
0.9747425407849759,1.0,0.16279069767441862,0.27999999999975916,0.19553072625693627,0.08641975308641975
0.9770785125794843,1.0,0.1511627906976744,0.26262626262603445,0.1820728291316088,0.08024691358024691
0.9775339029276237,1.0,0.13953488372093023,0.24489795918345852,0.1685393258426559,0.07407407407407407
0.9781342906127286,1.0,0.12790697674418605,0.22680412371113912,0.1549295774647512,0.06790123456790123
0.980782003629043,1.0,0.11627906976744186,0.2083333333331467,0.14124293785307304,0.06172839506172839
0.9811643811249813,1.0,0.10465116279069768,0.1894736842103548,0.12747875354104543,0.05555555555555555
0.9814662765621679,1.0,0.09302325581395349,0.17021276595729107,0.11363636363633586,0.04938271604938271
0.9836669966315855,1.0,0.08139534883720931,0.15053763440846296,0.09971509971507529,0.043209876543209874
0.9854904351380781,1.0,0.06976744186046512,0.13043478260857372,0.08571428571426465,0.037037037037037035
0.9859585205306545,1.0,0.05813953488372093,0.10989010989000601,0.07163323782233191,0.030864197530864196
0.9867397849913014,1.0,0.046511627906976744,0.08888888888880393,0.05747126436780189,0.024691358024691357
0.9899550857752114,1.0,0.03488372093023256,0.0674157303370135,0.04322766570604116,0.018518518518518517
0.9907964449752145,1.0,0.023255813953488372,0.045454545454501026,0.028901734104039057,0.012345679012345678
0.9909925807895557,1.0,0.011627906976744186,0.022988505747103708,0.014492753623184793,0.006172839506172839
